DOI,Title,Authors,Year,Document Type,Source Title,Standardized Keywords,Research Categories,Cited By,Quality Score,Quality Tier
"10.1007/s00146-025-02362-2","The digital erosion of intellectual integrity: why misuse of generative AI is worse than plagiarism","Shaw D.",2025,"Article","AI and Society","artificial intelligence; education; ethics; integrity; plagiarism","Educational Context; Ethics & Policy",1,80,"High"
"10.3389/feduc.2024.1465703","Ethical use of ChatGPT in education—Best practices to combat AI-induced plagiarism","Kovari A.",2024,"Article","Frontiers in Education","adaptive testing; assessments; chatgpt; creative assignments; ethical ai use; generative artificial intelligence; personalized tasks; plagiarism","Educational Context; Ethics & Policy",0,80,"High"
"10.36615/sotls.v8i2.411","Are AI detection and plagiarism similarity scores worthwhile in the age of ChatGPT and other Generative AI?","Baron P.",2024,"Article","SOTL in the South","artificial intelligence; chatgpt; detection; generative artificial intelligence; plagiarism","Detection Technology; Educational Context",0,95,"High"
"10.1109/ICKECS65700.2025.11036044","AI-Powered Plagiarism Detection: A Web-Based System for Text Integrity","Kumar B.P.P., Purushotham R., Mahato R., Kumar S.M.V.",2025,"Conference paper","Proceedings of 3rd IEEE International Conference on Knowledge Engineering and Communication Systems","ai-powered solutions; natural language processing; paragraph-level analysis; plagiarism detection; semantic similarity; text originality; web-based system","Detection Technology; Technical Implementation",0,80,"High"
"10.1109/FIE58773.2023.10343337","Work in Progress: Safeguarding Authenticity: Strategies for Combating AI-Generated Plagiarism in Academia","Ilic P., Carr N.",2023,"Conference paper","Proceedings - Frontiers in Education Conference","artificial intelligence; assessment; chatgpt; cheating; efl; plagiarism; rubric; stem; writing","Educational Context; Detection Technology",0,80,"High"
"10.1080/14703297.2025.2514242","Reducing AI plagiarism through assessment of higher-order cognitive skills","Toker S., Akgun M.",2025,"Article","Innovations in Education and Teaching International","ai plagiarism; bloom's taxonomy; chatgpt; generative artificial intelligence; task complexity","Educational Context",0,80,"High"
"10.1007/978-3-031-35897-5_31","Plagiarism in AI Empowered World","Steponenaite A., Barakat B.",2023,"Conference paper","Lecture Notes in Computer Science","artificial intelligence; chatgpt; education; plagiarism","Educational Context",0,80,"High"
"10.17507/tpls.1506.02","Guarding Integrity: A Case Study on Tackling AI-Generated Content and Plagiarism in Academic Writing","Alawad E.A., Ayadi H.H., Alhinai A.A.",2025,"Article","Theory and Practice in Language Studies","academic integrity; artificial intelligence; educational strategies; efl assessments; plagiarism","Educational Context; Ethics & Policy",0,80,"High"
"10.1109/ACCESS.2024.3412176","Art Innovation or Plagiarism? Chinese Students' Attitudes Toward AI Painting Technology and Influencing Factors","Wang C.",2024,"Article","IEEE Access","ai art; ai painting; education and ai; mixed methods research; student attitudes","Educational Context",0,95,"High"
"10.1097/JS9.0000000000000939","AI-enabled ChatGPT or LLM: a new algorithm is required for plagiarism-free scientific writing","Pal S., Bhattacharya M., Islam M.A., Chakraborty C.",2024,"Letter","International journal of surgery","artificial intelligence; human","Ethics & Policy",0,65,"Medium"
"10.1002/mar.70007","Which Source is More Morally Negative? The Effect of Plagiarism From AI Versus Human on Consumer Immoral Judgments","Wei C., Peng L., Zhu Q.",2025,"Article","Psychology and Marketing","generative artificial intelligence; mind perception; moral judgments; perceived ownership; plagiarism","Ethics & Policy",0,80,"High"
"10.1002/mde.4139","Do college anti-plagiarism/cheating policies have teeth in the age of AI? Exploratory evidence from the Internet","Goel R.K., Nelson M.A.",2024,"Article","Managerial and Decision Economics","","Ethics & Policy",0,65,"Medium"
"10.1007/978-3-031-88720-8_64","Overview of PAN 2025: Generative AI Detection, Multilingual Text Detoxification, Multi-author Writing Style Analysis, and Generative Plagiarism Detection","Bevendorff J., Dementieva D., Fröbe M., et al.",2025,"Conference paper","Lecture Notes in Computer Science","","Detection Technology",0,65,"Medium"
"10.1097/JS9.0000000000001412","Advancing integrity in science: the imperative for AI-driven plagiarism detection in scientific writing","Wang C., Fang Y., Wang R.",2024,"Letter","International Journal of Surgery","","Detection Technology; Ethics & Policy",0,50,"Medium"
"10.1145/3657604.3662046","Plagiarism in the Age of Generative AI: Cheating Method Change and Learning Loss in an Intro to CS Course","Chen B., Lewis C.M., West M., Zilles C.",2024,"Conference paper","L@S 2024 - Proceedings of the 11th ACM Conference on Learning @ Scale","cheating; cs 1; generative artificial intelligence; large language models; plagiarism detection","Educational Context; Programming & Code; Detection Technology",0,80,"High"
"10.5840/ijap2023372202","Plagiarism, Academic Ethics, and the Utilization of Generative AI in Academic Writing","Koplin J.",2023,"Article","International Journal of Applied Philosophy","academic ethics; chat-gpt; generative artificial intelligence; plagiarism","Ethics & Policy",0,80,"High"
"10.1145/3678717.3691269","A Geospatial Perspective on Data Ownership, the Right to be Forgotten, Copyrights, and Plagiarism in Generative AI","Kanza Y., Krishnamurthy B., Srivastava D.",2024,"Conference paper","32nd ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems","copyright; generative artificial intelligence; the right to be forgotten; unlearning","Ethics & Policy; Technical Implementation",0,80,"High"
"10.1016/j.patter.2023.100706","AI-generated research paper fabrication and plagiarism in the scientific community","Elali F.R., Rachid L.N.",2023,"Article","Patterns","artificial intelligence; chatbox; chatgpt; fabrication; medicine; plagiarism; playgroundai","Detection Technology",0,80,"High"
"10.1109/ITHET56107.2022.10031827","A New Era of Plagiarism the Danger of Cheating Using AI","Xiao Y., Chatterjee S., Gehringer E.",2022,"Conference paper","2022 20th International Conference on Information Technology Based Higher Education and Training","","Educational Context; Detection Technology",0,50,"Medium"
"","Automation of Plagiarism and AI Detection in IT Students Papers with a Software Tool Using API","Sharyhin O., Klochko O., Tverdokhlib I.",2025,"Conference paper","Proceedings of International Conference on Applied Innovation in IT","academic integrity; artificial intelligence; automation; information law; information technology students; intelligent information system; natural language processing; plagiarism; professional training; student work verification","Detection Technology; Educational Context; Technical Implementation",0,80,"High"
"10.1080/10494820.2025.2492783","Enhancing anti-plagiarism literacy practices among undergraduates with AI","Zhang Y., Liu Y., Wang X.",2025,"Article","Interactive Learning Environments","anti-plagiarism; artificial intelligence; ethical issues; human-ai collaboration; literacy practices","Educational Context; Ethics & Policy",0,80,"High"
