paper_id,route,cluster,raw_topic,A_orientation,A_methodology,B_orientation,B_methodology,B_orientation_tie_broken,B_methodology_tie_broken,title,C_orientation,C_methodology
P683,centroid,4.0,-1.0,governance,conceptual,technical,computational,False,True,A Hybrid Intelligent Approach Combining Machine Learning and a Knowledge Graph to Support Academic Journal Publishers Addressing the Reviewer Assignment Problem (RAP),technical,computational
P333,centroid,6.0,-1.0,technical,computational,technical,computational,False,False,AI vs Human Text Detector: Identifying AI-Generated Content Using NLP,technical,empirical
P264,cluster,2.0,2.0,pedagogical,empirical,pedagogical,empirical,False,False,Academic Integrity Within the Medical Curriculum in the Age of Generative Artificial Intelligence,governance,empirical
P401,cluster,3.0,3.0,technical,computational,governance,computational,True,False,Development of a Strategy for Duplication Search Based on Multiple Hierarchically Organized Approaches,technical,computational
P641,cluster,3.0,3.0,technical,computational,technical,computational,False,False,A Deep Semantic Based Text Mining Technique for Power Equipment Defects for Power Equipment Condition Evaluation Technique,technical,computational
P042,cluster,2.0,2.0,pedagogical,empirical,pedagogical,conceptual,False,True,AI-Aware Process Writing Pedagogy: Rethinking the Process-Based Approach,pedagogical,empirical
P310,cluster,7.0,7.0,technical,computational,technical,computational,False,False,Automating the detection of plagiarism in educational content using Natural language processing,technical,computational
P260,cluster,6.0,6.0,technical,computational,technical,conceptual,False,True,Simignore: Exploring and enhancing multimodal large model complex reasoning via similarity computation,technical,computational
P626,cluster,2.0,2.0,pedagogical,empirical,technical,conceptual,False,True,Distinguishing between Student-Authored and ChatGPT-Generated Texts: A Preliminary Exploration of Human Evaluation Techniques,technical,empirical
P048,cluster,6.0,6.0,technical,computational,technical,computational,False,False,Detecting AI-generated essays using fine-tuned XLNet-CNN hybrid techniques: a study of the academic integrity challenge,technical,empirical
P795,cluster,2.0,2.0,pedagogical,empirical,governance,empirical,False,False,Ethics and AI-Plagiarism in an Academic Environment: Students’ Understanding of Compliance with Author’s Ethics and the Problem of Plagiarism in the Process of Interaction with Generative Artificial I,governance,empirical
P276,cluster,6.0,6.0,technical,computational,technical,computational,False,False,Enhancing AI Text Detection with Frozen Pretrained Encoders and Ensemble Learning,technical,computational
P774,cluster,4.0,4.0,governance,conceptual,governance,conceptual,False,False,"Plagiarism, Academic Ethics, and the Utilization of Generative AI in Academic Writing",governance,empirical
P287,cluster,2.0,2.0,pedagogical,empirical,governance,conceptual,False,False,"Drafting defensively, documenting authorship: An analysis of Draftback and Grammarly Authorship",governance,empirical
P055,cluster,6.0,6.0,technical,computational,technical,conceptual,False,True,Detecting AI-Generated Vietnamese News Articles with Multilingual-E5 and BERT,technical,computational
P543,cluster,1.0,1.0,pedagogical,empirical,technical,computational,False,False,MAGECODE: Machine-Generated Code Detection Method Using Large Language Models,technical,computational
P527,cluster,2.0,2.0,pedagogical,empirical,pedagogical,empirical,False,True,The Role of Faculty Expertise and Intuition in Distinguishing between AIGenerated Text and Student Writing,governance,empirical
P587,cluster,2.0,2.0,pedagogical,empirical,pedagogical,conceptual,False,True,Academic Integrity considerations of AI Large Language Models in the post-pandemic era: ChatGPT and beyond,governance,empirical
P513,cluster,3.0,3.0,technical,computational,technical,computational,False,False,Short Text Similarity Model Using Semantic and Word Order Features,technical,computational
P482,cluster,10.0,10.0,governance,conceptual,technical,conceptual,False,False,Plagiarism Detection in the Digital Era: A Systematic Review of Tools and Techniques,technical,computational
P700,cluster,3.0,3.0,technical,computational,technical,computational,False,False,Fast Text Classification by Leveraging Class Feature Words,technical,computational
P300,cluster,6.0,6.0,technical,computational,technical,computational,False,False,Leidos at GenAI Detection Task 3: A Weight-Balanced Transformer Approach for AI Generated Text Detection Across Domains,technical,computational
P240,cluster,6.0,6.0,technical,computational,technical,computational,False,False,Detecting AI-Generated Text Using Machine Learning and Deep Learning Approaches,technical,computational
P588,cluster,5.0,5.0,technical,computational,technical,conceptual,False,True,One-Class Learning for AI-Generated Essay Detection,technical,empirical
P261,cluster,8.0,8.0,technical,computational,technical,computational,False,False,PlagBench: Exploring the Duality of Large Language Models in Plagiarism Generation and Detection,technical,empirical
